"question_id","grade","type_id","format","asset_src","sha256","source_name"
"src-pnl12b8-c3-stat-433","12","type-kntt-12-10-02","TLN","/question-assets/source/pnl-12-b8-c3-variance/image433.png","9a41f3f171aef2de924e6be886930f4a507d8695529af70a0736f26bf04f623c","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c3-stat-438","12","type-kntt-12-10-01","TLN","/question-assets/source/pnl-12-b8-c3-variance/image438.png","4aac24712a2ef4c005d0e4a6f17f4a09211067613b30790d4ce39555e2771d57","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c3-stat-443","12","type-kntt-12-10-01","TLN","/question-assets/source/pnl-12-b8-c3-variance/image443.png","15c16cca32eb71974b8dbb37bfbc6b9fe8cc9ffec7805331ec71812c0297376a","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c4-area-q18","12","type-kntt-12-13-02","TN","/question-assets/source/pnl-12-b8-c4-area/image370.png","43e67eac782132fc741f92c7487a9e9c20d4c0c8dc28316e5b6d2112fcf302de","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c4-area-q19","12","type-kntt-12-13-01","TN","/question-assets/source/pnl-12-b8-c4-area/image379.png","1042d909386aaa2437a391d597bfbc09ffb96f8d2995f741697fbdde48b95111","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c4-area-q24","12","type-kntt-12-13-02","TN","/question-assets/source/pnl-12-b8-c4-area/image412.png","a1f49085e9b24feb490b7baea7c523dee9e7a1fc487f937ac6b653124a20f6b8","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c4-area-q40","12","type-kntt-12-13-04","TN","/question-assets/source/pnl-12-b8-c4-area/image623.png","d786e822b9e5c4273b7bb75c79cda0413cc28a05bc1c60f85539dfbf36ee37f8","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c4-area-q44","12","type-kntt-12-13-04","TN","/question-assets/source/pnl-12-b8-c4-area/image729.png","ca546bb6f3d9be5a2a00e04650af77c409b5b6c31727b7cb51bfc35c61115260","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c4-volume-tank","12","type-kntt-12-13-04","TN","/question-assets/source/pnl-12-b8-c4-volume/image54.png","cd2ba854caaa99ff477cbb43894088950695954a79e68fd1f10890d3f9c9005a","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c4-volume-sphere","12","type-kntt-12-13-03","TN","/question-assets/source/pnl-12-b8-c4-volume/image58.png","e49af093206aff7c723cc5d2550751585777856af0332e0e94c366de1715f961","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c2-rubik-centroid","12","type-kntt-12-06-02","TLN","/question-assets/source/pnl-12-b8-c2-vector/image278.png","1a939039fe3e6e021a579a78719b1afed104f12077dc271abff43fdfd15c3bbf","Bộ 8 lớp 12 KNTT – nguồn người dùng cung cấp"
"src-pnl12b8-c6-totalprob-tree-ds","12","type-kntt-12-19-03","DS","/question-assets/source/pnl-12-b8-c6-probability/image292.png","5137ee98f928eceb38f0e2fb7dd09c84fe1dfed23a6ddcc6175b5878896eb687","Bộ 8 lớp 12 KNTT – nguồn người dùng cung cấp"
"src-pnl10-final-venn","10","type-kntt-10-02-02","TN","/question-assets/source/pnl-10-final/venn-abc.png","128807930e54207ec36a8c8c9cbfa9da8ab8694868c70eb2eda29971039c1274","Phan Nhật Linh - Toán 10 KNTT (nguồn người dùng cung cấp)"
"src-pnl10-final-ineq-region","10","type-kntt-10-03-02","TN","/question-assets/source/pnl-10-final/linear-inequality-region.png","baab36692be6b8d17b1469c972762893fcafc55ef0758c40d4b6c211baa1d13f","Phan Nhật Linh - Toán 10 KNTT (nguồn người dùng cung cấp)"
"src-pnl10-final-system-region","10","type-kntt-10-04-01","TN","/question-assets/source/pnl-10-final/system-region.png","1adcc0be5fa8f4897881c8c6ba824d0a84173a1e181af7bac021d18c766e9315","Phan Nhật Linh - Toán 10 KNTT (nguồn người dùng cung cấp)"
"src-pnl10-final-function-table","10","type-kntt-10-15-02","TN","/question-assets/source/pnl-10-final/function-variation-table.png","3faa0ce37c249381b6dffedb1388345aeddd8c511acbd84446f8d91d28dc5a8b","Phan Nhật Linh - Toán 10 KNTT (nguồn người dùng cung cấp)"
"src-pnl10-final-function-graph-extrema-count","10","type-kntt-10-15-02","TN","/question-assets/source/pnl-10-final/function-graph-symmetric.png","890a159c02df723dbf1e966f7a49f59776b572159c0195c5f4808dae9a02667c","Phan Nhật Linh - Toán 10 KNTT (nguồn người dùng cung cấp)"
"src-pnl10-final-function-cubic-min","10","type-kntt-10-15-02","TN","/question-assets/source/pnl-10-final/function-cubic-extrema.png","39fe9681fafe515bc88d1ef3724afb3de2fb80fc6b9c6c8dcb9c8c4168a81580","Phan Nhật Linh - Toán 10 KNTT (nguồn người dùng cung cấp)"
"src-pnl10-final-parabola-opening","10","type-kntt-10-16-02","TN","/question-assets/source/pnl-10-final/quadratic-parabola.png","30766f26b9b33a7402252fbd2e8d1bdc22f283447734b5827232a6b70d0e4dd0","Phan Nhật Linh - Toán 10 KNTT (nguồn người dùng cung cấp)"
"src-pnl10-final-quadratic-variation","10","type-kntt-10-16-01","TN","/question-assets/source/pnl-10-final/quadratic-variation-table.png","e3dd8b2a8660068fb4a43f60597898053eb0e051c6ae9766131ae0cf3ec83703","Phan Nhật Linh - Toán 10 KNTT (nguồn người dùng cung cấp)"
"src-pnl10-final-linear-model","10","type-kntt-10-15-04","TN","/question-assets/source/pnl-10-final/linear-model-graph.png","275844c272128d944b3481995213e02e7f35b8c02c7c728d80d07d9cd6bf6c27","Phan Nhật Linh - Toán 10 KNTT (nguồn người dùng cung cấp)"
"src-pnl11-final-sine","11","type-kntt-11-03-02","TN","/question-assets/source/pnl-11-final/sine-graph.png","590b8123c4df299292d3d01d9789a524ed88994aa19df1d0d2aaae2b7693c0de","Phan Nhật Linh - Toán 11 KNTT (nguồn người dùng cung cấp)"
"src-pnl11-final-cos-value","11","type-kntt-11-03-02","TN","/question-assets/source/pnl-11-final/cosine-graph.png","69f6078409e010edf821f063d7e440e621e5543f18e3b94a25fc2713c64b8660","Phan Nhật Linh - Toán 11 KNTT (nguồn người dùng cung cấp)"
"src-pnl11-final-tan-period","11","type-kntt-11-03-02","TN","/question-assets/source/pnl-11-final/tangent-graph.png","2a4f76c43161b0a8481c577a97137d30bdfe3b79be6a3c31ed101b39c676a003","Phan Nhật Linh - Toán 11 KNTT (nguồn người dùng cung cấp)"
"src-pnl11-final-cot-monotone","11","type-kntt-11-03-02","TN","/question-assets/source/pnl-11-final/cotangent-graph.png","9e5aa8aad49bc4a00aa0def5f67c87856023b25cc25e3b6fc9ddb5a4380fd7de","Phan Nhật Linh - Toán 11 KNTT (nguồn người dùng cung cấp)"
"src-pnl11-final-limit-infinity","11","type-kntt-11-16-04","TN","/question-assets/source/pnl-11-final/limit-graph.png","ea2828861e8c9c08161a2403ff625ea0e1faa556e035515f4d5c614ff5a5aa4f","Phan Nhật Linh - Toán 11 KNTT (nguồn người dùng cung cấp)"
"src-pnl11-final-continuity-jump","11","type-kntt-11-17-01","TN","/question-assets/source/pnl-11-final/continuity-jump-graph.png","231cb89dd36a6383a42235f2adf9fc91001d4907cbd208634e54b425ae791511","Phan Nhật Linh - Toán 11 KNTT (nguồn người dùng cung cấp)"
"src-pnl11-final-pyramid-base","11","type-kntt-11-10-01","TN","/question-assets/source/pnl-11-final/pyramid-sabc.png","4b3b7375e68531ea92a68b6e271b9d2b9ab54f869204fc889ea8b36453b73936","Phan Nhật Linh - Toán 11 KNTT (nguồn người dùng cung cấp)"
"src-pnl11-final-pyramid-hidden-edge","11","type-kntt-11-10-01","TN","/question-assets/source/pnl-11-final/pyramid-sabcd.png","dbe4e356bda54369e2a1da58f3ba56dd47b28180cea579cf9e2c37b29030fe84","Phan Nhật Linh - Toán 11 KNTT (nguồn người dùng cung cấp)"
"src-pnl11-final-prism-point","11","type-kntt-11-10-01","TN","/question-assets/source/pnl-11-final/prism-points.png","d42153bec6075626b2f440b6e8c0ef709853454a21f8e27049abe6cb924a7905","Phan Nhật Linh - Toán 11 KNTT (nguồn người dùng cung cấp)"
